price,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathroom_qty,bathroom_type,mrtDisp,nearestMRT,cityDisp
68.0,1.32301,103.92211,Home,Private room,1,1.0,1.0,1,baths,0.9071852756675469,Bedok,9.151866170390315
95.0,1.31963,103.924,Home,Private room,1,1.0,4.0,4,baths,0.8465159948297925,Bedok,9.164690000460952
343.0,1.32453,103.85255,Apartment,Private room,1,1.0,2.0,2,baths,1.0440179670902228,Toa Payoh,4.593328701998819
139.0,1.31936,103.91663,House,Entire home/apt,5,1.0,3.0,1,baths,0.3993502478424414,Kembangan,8.422680941497397
929.0,1.32485,103.85143,Apartment,Private room,2,1.0,1.0,2,baths,0.9501909768388284,Toa Payoh,4.622889612753067
50.0,1.36722,103.89765,Apartment,Private room,1,1.0,1.0,2,shared,0.7349930262602233,Hougang,10.730108595401616
30.0,1.44076,103.77626,Apartment,Private room,1,1.0,1.0,1,baths,0.939437624695935,Marsiling,19.332652924856458
150.0,1.29182,103.83496,Apartment,Entire home/apt,2,1.0,1.0,1,baths,1.0401478921869094,Somerset,1.9217063946177544
67.0,1.3117,103.86028,Hostel,Private room,1,1.0,1.0,5,shared,0.3825116000967486,Bendemeer,3.358356904688653
98.0,1.3117,103.86028,Hostel,Private room,2,1.0,1.0,5,shared,0.3825116000967486,Bendemeer,3.358356904688653
67.0,1.3117,103.86028,Hostel,Private room,1,1.0,1.0,5,shared,0.3825116000967486,Bendemeer,3.358356904688653
33.0,1.31117,103.86214,Apartment,Private room,1,1.0,1.0,3,shared,0.29810441971069085,Bendemeer,3.3801127254300254
78.0,1.30692,103.8007,Apartment,Shared room,1,1.0,1.0,2,shared,0.5638403659818761,Commonwealth,6.0773505521278395
183.0,1.2805,103.78439,Apartment,Private room,1,1.0,1.0,1,shared,0.3973497023495418,Haw Par Villa,7.300325550341229
80.0,1.30085,103.84318,Apartment,Private room,1,1.0,1.0,1,baths,0.34598276283162144,Dhoby Ghaut,2.093574078377444
101.0,1.35956,103.88423,Apartment,Private room,1,1.0,1.0,1,private,0.1262251623024989,Kovan,9.294377118586954
98.0,1.34806,103.95858,Condominium,Private room,1,1.0,1.0,1,private,0.726435631305027,Upper Changi,14.055188867797508
89.0,1.34798,103.9617,Condominium,Private room,1,1.0,1.0,1,private,0.6410726484871118,Upper Changi,14.349686804604445
69.0,1.28424,103.84275,Apartment,Private room,1,1.0,1.0,1,private,0.10391038586167142,Chinatown,0.812711419192679
31.0,1.28497,103.84341,Hostel,Hotel room,12,1.0,12.0,4,baths,0.050937608778005274,Chinatown,0.7557600777020385
58.0,1.30376,103.85923,Apartment,Private room,1,1.0,1.0,8,baths,0.46571514786495094,Jalan Besar,2.49573161250704
90.0,1.30171,103.85959,Apartment,Private room,3,1.0,1.0,8,baths,0.426854917483579,Bugis,2.308066522648151
58.0,1.30148,103.85813,Apartment,Private room,2,1.0,1.0,8,baths,0.2638092797152812,Bugis,2.2143619428905152
88.0,1.31786,103.9059,Apartment,Private room,1,1.0,1.0,2,baths,0.3988469904402881,Eunos,7.306450685060124
58.0,1.30348,103.85969,Apartment,Private room,1,1.0,1.0,8,baths,0.5219214979996794,Bugis,2.4890830803814556
62.0,1.31179,103.86002,Apartment,Private room,1,1.0,1.0,5,shared,0.40120577290438547,Bendemeer,3.358071200383766
950.0,1.27795,103.84109,Apartment,Private room,1,1.0,1.0,1,baths,0.3197897117876775,Outram Park,1.155417727595013
50.0,1.28172,103.84074,Apartment,Private room,2,1.0,1.0,1,baths,0.21106401683560833,Outram Park,1.0442931636283217
31.0,1.28268,103.84463,Hostel,Hotel room,12,1.0,12.0,4,baths,0.23756500734572042,Chinatown,0.6009355281091792
31.0,1.283,103.84344,Hostel,Hotel room,12,1.0,12.0,4,baths,0.17535484016832034,Chinatown,0.7300193744383049
89.0,1.31546,103.84117,Apartment,Private room,2,1.0,1.0,1,baths,0.3941999897460963,Newton,3.7083090875969513
100.0,1.3111,103.8812,Apartment,Private room,2,1.0,1.0,1,private,0.597135457015261,Mountbatten,4.646013477668016
110.0,1.29997,103.88536,Apartment,Entire home/apt,3,1.0,1.0,2,baths,0.7242398759235282,Mountbatten,4.345982834922722
106.0,1.38763,103.86942,Apartment,Entire home/apt,2,1.0,2.0,1,baths,2.709345285777607,Buangkok,11.800140288551862
261.0,1.29489,103.85401,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.18342270292832902,Esplanade,1.3636709204569806
150.0,1.30778,103.86171,Condominium,Private room,1,1.0,1.0,1,shared,0.16221325397224218,Lavender,3.017311646243036
76.0,1.34081,103.84165,Apartment,Private room,2,1.0,1.0,2,shared,0.4172737356700774,Caldecott,6.461846470240963
224.0,1.28816,103.84826,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.12019184342782224,Clarke Quay,0.5739828828571348
57.0,1.31288,103.85792,Apartment,Private room,1,1.0,1.0,1,private,0.33956997997575583,Farrer Park,3.4049498817733332
150.0,1.29887,103.83603,Apartment,Private room,1,1.0,1.0,1,baths,0.322858311334052,Somerset,2.3257766682078818
115.0,1.28135,103.84868,Home,Entire home/apt,2,1.0,1.0,2,baths,0.10451369793150805,Telok Ayer,0.26181724923706384
47.0,1.36747,103.83865,Apartment,Private room,2,1.0,1.0,1,private,1.2486549259777255,Ang Mo Kio,9.443953673433484
20.0,1.45328,103.82199,Apartment,Private room,2,1.0,2.0,1,baths,0.5085898130976693,Sembawang,19.155692548385264
57.0,1.30793,103.86276,Apartment,Private room,1,1.0,1.0,1,private,0.05889695237919998,Lavender,3.084278250102959
110.0,1.3004,103.84994,Apartment,Private room,1,1.0,1.0,1,shared,0.21388407658154207,Bencoolen,1.9014475707533025
