host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,availability_30,availability_90,availability_365,property_type,room_type,accommodates,bedrooms,beds,instant_bookable,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,calculated_host_listings_count,calculated_host_listings_count_private_rooms,bathroom_qty,bathroom_type,Long term stays allowed,Television,Heater,Internet,Air Conditioning,Essentials,Swimming Pool,Washer,Refrigerator,Cooking basics,Gym,Bathtub,Coffee,Clothing storage,Garden,Elevator,Security Lock,Patio or balcony,BBQ Grill,Sound system,name_len,desc_len,mrtDisp,nearestMRT,cityDisp
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Rochor,Central Region,1.30096,103.85206,1.0,1.0,1.0,Apartment,Private room,2,1.0,1.0,f,170.0,0,0.0,0.0,0.0,1,1,2.0,baths,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,156,0.2993230661551511,Rochor,1.9770130103588586
unknown,0.8849536231883985,0.7301176800224078,f,t,t,Bukit Timah,Central Region,1.30938,103.79812,1.0,1.0,0.2493150684931507,Apartment,Private room,2,1.0,1.0,f,100.0,28,0.23,4.5,4.48,1,1,1.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,164,0.29990507417326634,Holland Village,6.4553730598080765
a few days or more,0.0,0.7301176800224078,f,t,f,Serangoon,North-East Region,1.36926,103.87312,1.0,1.0,1.0,Apartment,Private room,1,1.0,1.0,f,26.0,0,0.0,0.0,0.0,1,1,1.0,baths,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,135,1.6749847148028756,Kovan,9.897842256778548
within a day,0.57,0.86,f,t,t,Downtown Core,Central Region,1.27663,103.84498,0.7666666666666667,0.9222222222222223,0.9808219178082191,Apartment,Private room,4,1.0,1.0,t,119.0,72,0.6,4.63,4.57,3,3,1.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7,143,0.20095612493766163,Tanjong Pagar,0.9281740862243171
within a day,0.57,0.86,f,t,t,Downtown Core,Central Region,1.27585,103.84597,1.0,1.0,1.0,Apartment,Private room,4,1.0,1.0,t,119.0,26,0.22,4.56,4.32,3,3,1.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7,143,0.10708887417042164,Tanjong Pagar,0.9417855774614938
unknown,0.8849536231883985,0.7301176800224078,f,t,t,Marine Parade,Central Region,1.30416,103.90076,0.0,0.0,0.0,Apartment,Private room,2,1.0,1.0,f,250.0,70,0.59,4.73,4.75,4,2,1.0,private,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,115,1.4108232165168781,Dakota,6.100956719463185
within a day,0.9,1.0,f,t,t,Outram,Central Region,1.2841,103.84253,0.7333333333333333,0.9111111111111111,0.9780821917808219,Apartment,Private room,1,1.0,1.0,t,69.0,2,0.02,4.0,3.0,97,95,2.0,shared,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,149,0.13240007711337878,Chinatown,0.8351697632281164
within an hour,0.99,0.82,f,t,t,Bukit Merah,Central Region,1.29065,103.80941,0.9666666666666667,0.9888888888888889,0.8328767123287671,Apartment,Private room,1,1.0,1.0,f,55.0,15,0.13,4.2,4.27,44,42,0.0,baths,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,175,0.6098813386425918,Queenstown,4.585687649832004
unknown,0.8849536231883985,0.7301176800224078,f,t,t,Marine Parade,Central Region,1.30492,103.90315,0.0,0.0,0.0,Apartment,Entire home/apt,4,2.0,2.0,f,300.0,40,0.34,4.78,4.83,4,2,2.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,86,1.6407580244698874,Dakota,6.378863515779448
unknown,0.8849536231883985,0.7301176800224078,f,t,t,Bedok,East Region,1.31313,103.91479,0.0,0.0,0.0,Apartment,Private room,1,1.0,1.0,f,284.0,0,0.0,0.0,0.0,1,1,0.0,baths,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,38,0.8877929696352769,Kembangan,7.929556696107597
